,img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,franchise
695,/games/boxart/full_1764308AmericaFrontccc.jpg,PGR: Project Gotham Racing 2,XB,Racing,Microsoft Game Studios,Bizarre Creations,8.9,1.67,0.97,0.04,0.59,0.07,11/17/2003,11/17/2003,Project Gotham Racing
2735,/games/boxart/full_8981935AmericaFrontccc.jpg,PGR3 - Project Gotham Racing 3,X360,Racing,Microsoft Game Studios,Bizarre Creations,8.8,0.6,0.49,0.03,0.03,0.05,11/16/2005,11/16/2005,Project Gotham Racing
507,/games/boxart/full_2000268AmericaFrontccc.jpg,PGR4 - Project Gotham Racing 4,X360,Racing,Microsoft Game Studios,Bizarre Creations,8.6,2.04,0.48,0.02,1.28,0.25,10/02/2007,10/02/07,Project Gotham Racing
3698,/games/boxart/9674200ccc.jpg,Phantasy Star Online Episode I & II,GC,Role-Playing,Sega,Sonic Team,8.2,0.45,0.23,0.16,0.06,0.01,10/29/2002,10/29/2002,Phantasy Star Online
1643,/games/boxart/full_8312729AmericaFrontccc.jpg,Phoenix Wright: Ace Attorney,DS,Adventure,Capcom,Capcom,8.1,0.93,0.44,0.39,0.05,0.05,10/12/2005,10/12/05,Ace Attorney
3169,/games/boxart/2037033ccc.jpg,Phoenix Wright: Ace Attorney - Justice for All,DS,Adventure,Capcom,Capcom,7.6,0.53,0.21,0.26,0.04,0.03,1/16/2007,1/16/2007,Ace Attorney
2623,/games/boxart/full_1388131AmericaFrontccc.jpg,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,Adventure,Capcom,Capcom,7.9,0.62,0.3,0.25,0.03,0.03,10/23/2007,10/23/2007,Ace Attorney
3352,/games/boxart/full_2506149AmericaFrontccc.jpg,Picross 3D,DS,Puzzle,Nintendo,HAL Laboratory,8.7,0.5,0.28,0.16,0.03,0.03,05/03/2010,05/03/10,Picross
3351,/games/boxart/8266954ccc.jpg,Picross DS,DS,Puzzle,Nintendo,Jupiter Multimedia,8.4,0.5,0.17,0.3,0.02,0.02,7/30/2007,7/30/2007,Picross
1576,/games/boxart/full_pilotwings-resort_187AmericaFront.jpg,PilotWings Resort,3DS,Simulation,Nintendo,Monster Games,6.9,0.96,0.4,0.13,0.36,0.07,3/27/2011,3/27/2011,PilotWings Resort
4867,/games/boxart/3660502ccc.gif,Planet Puzzle League,DS,Puzzle,Nintendo,Intelligent Systems,8.6,0.33,0.14,0.16,0.01,0.01,06/04/2007,06/04/07,Planet Puzzle League
1266,/games/boxart/full_6214041PALFrontccc.jpg,Plants vs Zombies: Garden Warfare,X360,Shooter,Electronic Arts,PopCap Games,8,1.13,0.54,0,0.5,0.09,2/25/2014,02/05/18,Plants vs Zombies
2272,/games/boxart/full_1404771AmericaFrontccc.jpg,Plants vs Zombies: Garden Warfare,XOne,Shooter,Electronic Arts,PopCap Games,7.6,0.71,0.39,0,0.25,0.06,2/25/2014,02/05/18,Plants vs Zombies
3338,/games/boxart/full_3517674AmericaFrontccc.png,Pokémon Art Academy,3DS,Misc,Nintendo,Headstrong Games,7.8,0.5,0.18,0.17,0.12,0.03,10/24/2014,08/03/18,Pokémon
4417,/games/boxart/114245ccc.jpg,Pokémon Channel,GC,Adventure,Nintendo,Ambrella,5.2,0.38,0.24,0.07,0.06,0.01,12/01/2003,12/01/03,Pokémon
2062,/games/boxart/5838699ccc.jpg,Pokémon Dash,DS,Racing,Nintendo,Ambrella,5.3,0.77,0.21,0.38,0.14,0.04,3/14/2005,3/14/2005,Pokémon
2118,/games/boxart/full_1343182AmericaFrontccc.jpg,PokéPark 2: Wonders Beyond,Wii,Action-Adventure,Nintendo,Creatures Inc.,6.5,0.76,0.26,0.27,0.19,0.04,2/27/2012,3/16/2018,Pokémon
5978,/games/boxart/4343552ccc.jpg,Polarium,DS,Puzzle,Nintendo,Mitchell,7.6,0.26,0.13,0.11,0.01,0.01,4/18/2005,4/18/2005,Polarium
3022,/games/boxart/full_6598944AmericaFrontccc.jpeg,Poochy & Yoshi's Woolly World,3DS,Platform,Nintendo,Good-Feel,7.5,0.55,0.2,0.17,0.16,0.03,02/03/2017,01/07/18,Yoshi
486,/games/boxart/full_portal-2_551AmericaFront.jpg,Portal 2,X360,Shooter,Valve,Valve Software,9.6,2.08,1.41,0.01,0.49,0.17,4/19/2011,4/19/2011,Portal
662,/games/boxart/full_portal-2_305AmericaFront.jpg,Portal 2,PS3,Shooter,Valve,Valve Software,9.6,1.71,0.83,0.02,0.62,0.24,4/19/2011,4/19/2011,Portal
1368,/games/boxart/full_5430709AmericaFrontccc.jpg,Prince of Persia,PS3,Adventure,Ubisoft,Ubisoft Montreal,8.3,1.07,0.47,0.03,0.41,0.17,12/02/2008,12/02/08,Prince of Persia (Series)
1477,/games/boxart/full_1352912AmericaFrontccc.jpg,Prince of Persia,X360,Adventure,Ubisoft,Ubisoft Montreal,8.2,1.01,0.54,0.02,0.34,0.1,12/02/2008,12/02/08,Prince of Persia (Series)
2662,/games/boxart/full_6700322AmericaFrontccc.jpg,Prince of Persia: The Forgotten Sands,X360,Action,Ubisoft,Ubisoft Montreal,7.5,0.62,0.3,0,0.26,0.06,5/18/2010,5/18/2010,Prince of Persia (Series)
9632,/games/boxart/full_2267012AmericaFrontccc.jpg,Prinny: Can I Really Be the Hero?,PSP,Platform,NIS America,Nippon Ichi Software,7.2,0.11,0.04,0.05,0.01,0.01,2/17/2009,2/17/2009,Prinny
176,/games/boxart/560317ccc.jpg,Pro Evolution Soccer 2008,PS2,Sports,Konami,Konami,8.2,3.63,0.05,0.64,0,2.93,03/11/2008,03/11/08,Pro Evolution Soccer
743,/games/boxart/1051204ccc.jpg,Pro Evolution Soccer 2008,PS3,Sports,Konami,Konami,7.1,1.59,0.04,0.32,1.1,0.13,03/12/2008,03/12/08,Pro Evolution Soccer
1528,/games/boxart/2303174ccc.jpg,Pro Evolution Soccer 2008,PSP,Sports,Konami,Konami,7.8,0.98,0.02,0.19,0.53,0.25,03/12/2008,03/12/08,Pro Evolution Soccer
418,/games/boxart/full_4520839AmericaFrontccc.jpg,Pro Evolution Soccer 2010,PS3,Sports,Konami,Konami,7,2.28,0.3,0.46,1.27,0.26,11/03/2009,11/03/09,Pro Evolution Soccer
760,/games/boxart/full_9385635AmericaFrontccc.jpg,Pro Evolution Soccer 2010,PS2,Sports,Konami,Konami,7.2,1.57,0.1,0.12,0.18,1.16,11/10/2009,11/10/09,Pro Evolution Soccer
1934,/games/boxart/full_3122149AmericaFrontccc.jpg,Pro Evolution Soccer 2010,X360,Sports,Konami,Konami,7,0.81,0.12,0.03,0.58,0.08,11/03/2009,11/03/09,Pro Evolution Soccer
